source_row_index,district_number,district_marker_raw,district_number_source,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
69,,1*,unknown,صاحب الزمان - گمنام,,,,,,,99012500,۱*صاحب الزمان - گمنام99012500,True,source_ambiguity,district_marker_corrupt:1*; district_unresolved; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
70,14,1*,sibling_table_name_match,صددستگاه - خیری,,,,,,,109012900,۱*صددستگاه - خیری109012900,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
71,,1*,unknown,ابوذر - آقاجانلو,9,72,13000000.0,,,400000000,97213400,۱*ابوذر - آقاجانلو97213400,False,source_ambiguity,district_marker_corrupt:1*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
72,15,15,sibling_table_name_match,کیانشهر - نهم,6,79,14000000.0,,,300000000,67914300,۱۵کیانشهر - نهم67914300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
73,,1*,unknown,افسریه - زالی,7,75,6000000.0,,,300000000,7756300,۱*افسریه - زالی7756300,False,source_ambiguity,district_marker_corrupt:1*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
74,15,15,sibling_table_name_match,شوش - چهارم,8,70,4500000.0,,,500000000,8704.5500,۱۵شوش - چهارم8704.5500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
75,15,15,sibling_table_name_match,مسعودیه,,,,,,,87512250,۱۵مسعودیه87512250,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
76,16,16,sibling_table_name_match,نازی آباد - رضوان,,,,,,,78012800,۱۶نازی آباد - رضوان78012800,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
77,16,16,sibling_table_name_match,جوادیه - قرنی,5,85,6500000.0,,,500000000,5856.5500,۱۶جوادیه - قرنی5856.5500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
78,16,1*,sibling_table_name_match,خزانه - فلاحی,7,70,6000000.0,,,400000000,7706400,۱*خزانه - فلاحی7706400,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
79,16,1*,sibling_table_name_match,علی آباد - دستواره,9,75,8000000.0,,,400000000,9758400,۱*علی آباد - دستواره9758400,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
80,16,1*,sibling_table_name_match,یاخچی آباد - بشارت,6,85,15000000.0,,,500000000,68515500,۱*یاخچی آباد - بشارت68515500,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
81,,1*,unknown,امامزاده حسن,,,,,,,99012300,۱*امامزاده حسن99012300,True,source_ambiguity,district_marker_corrupt:1*; district_unresolved; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
82,17,17,sibling_table_name_match,زمزم - جمران,10,75,8000000.0,,,300000000,10758300,۱۷زمزم - جمران10758300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
83,17,1*,sibling_table_name_match,وصنفار - رمضانی,8,80,9000000.0,,,500000000,8809500,۱*وصنفار - رمضانی8809500,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
84,17,1*,sibling_table_name_match,سجاد - مفرقی,10,75,15000000.0,,,350000000,107515350,۱*سجاد - مفرقی107515350,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
85,,1*,unknown,جلیلی - آقابری,10,75,0.0,,,500000000,10750500,۱*جلیلی - آقابری10750500,False,source_ambiguity,district_marker_corrupt:1*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
86,18,18,marker,تولیددارو - قنات,8,70,6000000.0,,,400000000,8706400,۱۸تولیددارو - قنات8706400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
87,18,1*,sibling_table_name_match,شهرک ولیعصر - بارزگان,,,,,,,108012250,۱*شهرک ولیعصر - بارزگان108012250,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
88,18,1*,sibling_table_name_match,یافت آباد - سعفی,9,73,9000000.0,,,400000000,9739400,۱*یافت آباد - سعفی9739400,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
89,18,1*,sibling_table_name_match,شادآباد - الهر,,,,,,,108012300,۱*شادآباد - الهر108012300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
90,18,1*,sibling_table_name_match,خلیج فارس - غفاری,,,,,,,107512300,۱*خلیج فارس - غفاری107512300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
91,19,1*,sibling_table_name_match,خانی آباد نو - اموزگار,7,90,15000000.0,,,300000000,79015300,۱*خانی آباد نو - اموزگار79015300,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
92,19,19,marker,خانی آباد - شهریاری,9,90,9000000.0,,,200000000,9909200,۱۹خانی آباد - شهریاری9909200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
93,19,19,sibling_table_name_match,عبدل آباد - هفدهم,,,,,,,98512300,۱۹عبدل آباد - هفدهم98512300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
94,,1*,unknown,دولتخواه - رامینی,6,90,10000000.0,,,650000000,69010650,۱*دولتخواه - رامینی69010650,False,source_ambiguity,district_marker_corrupt:1*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
95,19,1*,sibling_table_name_match,شهرک شریعتی,5,85,7000000.0,,,200000000,5857200,۱*شهرک شریعتی5857200,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
96,20,2*,sibling_table_name_match,فیروزآبادی - قدسیان اسلام,6,74,7000000.0,,,400000000,6747400,۲*فیروزآبادی - قدسیان اسلام6747400,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
97,20,20,sibling_table_name_match,دولت آباد - بهشتی,7,84,7000000.0,,,600000000,7847600,۲۰دولت آباد - بهشتی7847600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
98,,2*,unknown,جوانمرد قصاب,7,85,6000000.0,,,600000000,7856600,۲*جوانمرد قصاب7856600,False,source_ambiguity,district_marker_corrupt:2*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
99,,2*,unknown,ابن بابویه - قم,7,75,15000000.0,,,200000000,77515200,۲*ابن بابویه - قم77515200,False,source_ambiguity,district_marker_corrupt:2*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
100,,2*,unknown,سرتخت - مدرس,8,73,13000000.0,,,300000000,87313300,۲*سرتخت - مدرس87313300,False,source_ambiguity,district_marker_corrupt:2*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
101,,2*,unknown,تهرانسر - نیلوفر,9,90,10000000.0,,,800000000,99010800,۲*تهرانسر - نیلوفر99010800,False,source_ambiguity,district_marker_corrupt:2*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
102,21,2*,sibling_table_name_match,وردآورد - ولیعصر,,,,,,,68911500,۲*وردآورد - ولیعصر68911500,True,source_ambiguity,district_marker_corrupt:2*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
103,,2*,unknown,چیتگر - جهاد,,,,,,,69012400,۲*چیتگر - جهاد69012400,True,source_ambiguity,district_marker_corrupt:2*; district_unresolved; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
104,21,21,sibling_table_name_match,شهرک آزادی - نیک آزم,7,80,17500000.0,,,300000000,78017.5300,۲۱شهرک آزادی - نیک آزم78017.5300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
105,22,22,marker,ویلاشهر - انصار,6,110,30000000.0,,,500000000,611030500,۲۲ویلاشهر - انصار611030500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
106,22,2*,sibling_table_name_match,دریاچه خلیج فارس,6,114,30000000.0,,,500000000,611430500,۲*دریاچه خلیج فارس611430500,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
107,22,2*,sibling_table_name_match,المپیک - چشمه غربی,9,108,25000000.0,,,700000000,910825700,۲*المپیک - چشمه غربی910825700,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
108,,2*,unknown,سروآزاد - شهرک اریده,8,127,21000000.0,,,1000000000,8127211000,۲*سروآزاد - شهرک اریده8127211000,False,source_ambiguity,district_marker_corrupt:2*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
109,,2*,unknown,شهرک راه آهن - بنفشه ها,,,,,,,910521400,۲*شهرک راه آهن - بنفشه ها910521400,True,source_ambiguity,district_marker_corrupt:2*; district_unresolved; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
110,22,2*,sibling_table_name_match,کوهک - طلوع چهارم,4,85,10000000.0,,,1000000000,485101000,۲*کوهک - طلوع چهارم485101000۱,False,source_ambiguity,district_marker_corrupt:2*; trailing_digits_stripped:1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
