source_row_index,district_number,district_marker_raw,district_number_source,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
14,3,3,sibling_table_name_match,ونک - شیخ بهایی,6,90,35000000.0,,,800000000,69035800,۳ونک - شیخ بهایی69035800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
15,3,3,sibling_table_name_match,میرداماد - شاهدوست,9,101,40000000.0,,,800000000,910140800,۳میرداماد - شاهدوست910140800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
16,3,3,marker,تهرانپارس شرقی - اسفندیاری,5,84,15000000.0,,,600000000,58415600,۳تهرانپارس شرقی - اسفندیاری58415600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
17,4,4,sibling_table_name_match,علم و صنعت - فرجام,8,73,9000000.0,,,400000000,8739400,۴علم و صنعت - فرجام8739400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
18,4,4,sibling_table_name_match,حکیمیه - فجر,5,90,24000000.0,,,300000000,59024300,۴حکیمیه - فجر59024300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
19,4,4,marker,شمس آباد - کیانسی,8,80,7000000.0,,,400000000,8807400,۴شمس آباد - کیانسی8807400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
20,5,4,sibling_table_name_match,هروی - پناهی نیا,9,90,28000000.0,,,1000000000,990281000,۴هروی - پناهی نیا990281000,False,source_ambiguity,district_marker_disagrees_with_sibling_table:4_vs_5,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
21,5,4,sibling_table_name_match,پونک - کمالی,10,90,25000000.0,,,800000000,109025800,۴پونک - کمالی109025800,False,source_ambiguity,district_marker_disagrees_with_sibling_table:4_vs_5,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
22,5,5,sibling_table_name_match,فردوس شرق,9,70,25000000.0,,,400000000,97025400,۵فردوس شرق97025400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
23,5,5,marker,جنت آباد مرکزی,6,88,30000000.0,,,500000000,68830500,۵جنت آباد مرکزی68830500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
