source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,deposit_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
15,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار کوهک,,220,35000000.0,,,500000000.0,35 میلیون,500 میلیون,| **22** | شهرک راه آهن - بلوار کوهک | 220 | 35 میلیون | 500 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
16,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار کوهک,,177,,,,,-,یک میلیارد و ۱۲۰۰ میلیون,| **22** | شهرک راه آهن - بلوار کوهک | 177 | - | یک میلیارد و ۱۲۰۰ میلیون |,True,rent_not_listed_in_source;amount_ambiguous_doubled_digit,rent_not_listed_in_source:-;deposit_amount_ambiguous_doubled_digit:1200 میلیون,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
17,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار کوهک,,175,,,,750000000.0,-,750 میلیون,| **22** | شهرک راه آهن - بلوار کوهک | 175 | - | 750 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
18,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار کوهک,,152,35000000.0,,,900000000.0,35 میلیون,900 میلیون,| **22** | شهرک راه آهن - بلوار کوهک | 152 | 35 میلیون | 900 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
19,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار کوهک,,107,,,,1000000000.0,1 میلیارد (withheld),یک میلیارد,| **22** | شهرک راه آهن - بلوار کوهک | 107 | 1 میلیارد | یک میلیارد |,False,;rent_equals_deposit_suspected_duplication,;suspected_duplication:rent_equals_deposit+rent_above_20x_median,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
20,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار یاس,,110,,,,850000000.0,-,850 میلیون,| **22** | شهرک راه آهن - بلوار یاس | 110 | - | 850 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
21,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - خ نفت,,125,15000000.0,,,400000000.0,15 میلیون,400 میلیون,| **22** | شهرک راه آهن - خ نفت | 125 | 15 میلیون | 400 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
22,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - شهرک فاطمی,,105,15000000.0,,,500000000.0,15 میلیون,500 میلیون,| **22** | شهرک راه آهن - شهرک فاطمی | 105 | 15 میلیون | 500 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
23,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - کوی دانشگاه,,280,25000000.0,,,700000000.0,25 میلیون,700 میلیون,| **22** | شهرک راه آهن - کوی دانشگاه | 280 | 25 میلیون | 700 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
24,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - هاشم زاده,,170,,,,1000000000.0,-,یک میلیارد,| **22** | شهرک راه آهن - هاشم زاده | 170 | - | یک میلیارد |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
