district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,1893408d-ca96-979b-c24c-2915e158283a,242556:1,MUNICIPAL_AREA,yes,54,1400-06,1405-05,9252,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9252,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,8b4e344f-d9de-2d81-1292-78ceef313c4a,242556:2,MUNICIPAL_AREA,yes,32,1400-06,1405-05,2669,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2669,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,c36bce22-5446-9cfb-fdc1-70dfaf56d510,242556:3,MUNICIPAL_AREA,yes,41,1400-06,1405-05,3880,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3880,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,424ad42e-a515-1f5e-03f5-9c982ea89c67,242556:4,MUNICIPAL_AREA,yes,40,1400-06,1405-05,5801,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,5801,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,079c15c8-a6ef-734f-c4fd-181466ee1048,242556:5,MUNICIPAL_AREA,yes,30,1400-06,1405-05,2651,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2651,yes,1405-05,6,ASKING_RENT present but empty
