district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,56c0c3e6-791f-8658-c563-699e6b91e806,242483:1,MUNICIPAL_AREA,yes,17,1401-10,1404-08,1102,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,1102,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,9dfd62b8-8116-1d58-dad3-18f2d8e9beee,242483:2,MUNICIPAL_AREA,yes,7,1404-02,1404-08,271,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-06,yes,1404-08,271,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,bce95e67-9511-8c0a-901d-1c84ca4cd212,242483:3,MUNICIPAL_AREA,yes,10,1403-06,1404-08,334,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-06,yes,1404-08,334,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,c5d27b2e-a003-cc97-cc1b-4f66afe591b7,242483:4,MUNICIPAL_AREA,yes,35,1401-10,1405-04,2,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,7,1405-02,yes,1405-04,2,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,a18abb94-46a8-0c70-b0bc-9242de0751e5,242483:5,MUNICIPAL_AREA,yes,15,1401-09,1404-08,190,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-06,yes,1404-08,190,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,19d9c9f6-bb6b-7880-3fa8-c3cba93e6eda,242483:6,MUNICIPAL_AREA,yes,18,1401-10,1404-08,751,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,751,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,3f940033-dbb1-d4b3-6758-dacba211daab,242483:7,MUNICIPAL_AREA,yes,22,1402-02,1404-11,1,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,11,1404-09,yes,1404-11,1,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,c15c1aef-ec77-629f-4079-5187d751a191,242483:8,MUNICIPAL_AREA,yes,7,1404-02,1404-08,1566,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-06,yes,1404-08,1566,yes,1405-05,6,ASKING_RENT present but empty
