district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,7a82010f-1b7d-cc68-9c4d-dbebce362695,242398:1,MUNICIPAL_AREA,yes,30,1399-12,1404-08,578,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,578,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,3197b4c6-d54d-4543-0596-d281cd0be735,242398:2,MUNICIPAL_AREA,yes,24,1400-07,1404-08,2010,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,2010,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,17830323-a333-7bf3-c5f5-1fd648b5f1ca,242398:3,MUNICIPAL_AREA,yes,30,1400-01,1404-08,1407,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,1407,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,5cbecc74-f488-1d40-057b-02c7eaa4f13b,242398:4,MUNICIPAL_AREA,yes,27,1400-06,1405-05,2,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,4,1405-05,yes,1405-05,2,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,25d9ee8b-3ad5-677a-26da-cf50eb2210e0,242398:5,MUNICIPAL_AREA,yes,14,1402-02,1404-08,601,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,601,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,c27d3b6b-c5d6-a507-8ee5-fafaf6c983ad,242398:6,MUNICIPAL_AREA,yes,14,1402-02,1404-08,426,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,426,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,a0c60635-9bf9-a8a0-13dd-2dee183bb708,242398:7,MUNICIPAL_AREA,yes,20,1400-08,1404-08,412,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,9,1404-06,yes,1404-08,412,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,284ed248-cb36-29e7-8ed9-4bbde71734f8,242398:8,MUNICIPAL_AREA,yes,23,1400-06,1405-05,1,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,4,1405-03,yes,1405-05,1,yes,1405-05,6,ASKING_RENT present but empty
