rank,city_id,native_key,name_fa,province_id,province_name_fa,have_region,census_rank_1395,population_1395,stockN,sampleSize,pricePsmMedian,trust,area_id
168,242643,242643,فراشبند,242297,فارس,False,,,,,,SUPPRESSED,1b39b062-f73e-3fc0-82f0-79b2b712c5b0
169,242544,242544,رامهرمز,242311,خوزستان,False,,,,,,SUPPRESSED,203a0d3a-b9f1-0c7f-9b05-a068703e950a
170,242420,242420,برخوار,242293,اصفهان,False,,,,,,SUPPRESSED,5b67b986-df15-24f6-a930-2aafa5a8a69b
171,242555,242555,نائین,242293,اصفهان,False,,,,,,SUPPRESSED,ae143992-06eb-9717-66dd-e62a72b6f0f7
172,242547,242547,رامیان,242301,گلستان,False,,,,,,SUPPRESSED,b6b64a12-1c73-2750-6ec1-299ec91f64ff
173,242531,242531,ماکو,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,77c3c0f4-3369-92d0-7d9e-07bd7e7e1208
174,242717,242717,میناب,242310,هرمزگان,False,,,,,,SUPPRESSED,38bdec12-9bd7-9c8b-19b4-2bf1db1fff93
175,242652,242652,فلاورجان,242293,اصفهان,False,,,,,,SUPPRESSED,d4f9f748-4dd6-4ec8-74aa-1a4d08331bdd
176,273002,273002,پرند,242305,تهران,True,,,,,,SUPPRESSED,002393ea-ae2b-0ea8-578f-190fac318f3f
177,242559,242559,رفسنجان,242282,کرمان,False,,,,,,SUPPRESSED,c3b35444-3e17-1f84-34c4-b77ca1c7bbc5
178,242401,242401,ایرانشهر,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,b7d4e14f-fe81-5307-c81e-cd58ca071af6
179,242651,242651,فسا,242297,فارس,False,,,,,,SUPPRESSED,989ee2dc-0f31-1af3-5ef7-116ba5a5ff15
180,242400,242400,ایذه,242311,خوزستان,False,,,,,,SUPPRESSED,85d57b91-7134-9417-ff43-3c9cacbef1ca
181,242622,242622,شفت,242290,گیلان,False,,,,,,SUPPRESSED,6c6fcb9c-6c79-b980-6924-5bc3968ea54b
182,242414,242414,بستان آباد,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,1e34967d-d9f0-2bb2-d667-6a149b966c74
183,242691,242691,مبارکه,242293,اصفهان,False,,,,,,SUPPRESSED,79052a9c-5276-3a56-fe15-b0a33a9f5bc4
184,242758,242758,صالح آباد,,,,,,,,,SUPPRESSED,9a79c562-262b-cadf-e0c7-3c89c9df42b1
185,242617,242617,شازند,242285,مرکزی,False,,,,,,SUPPRESSED,f1c6d6e0-0986-c908-82b2-2e2e0a66e1fe
186,242699,242699,پارسیان,242310,هرمزگان,False,,,,,,SUPPRESSED,f4eab641-7fae-4af0-e6a4-ce516dd5e45f
187,242741,242741,هندیجان,242311,خوزستان,False,,,,,,SUPPRESSED,b447bd5f-73ea-ede6-063b-afb0cf9608a1
188,242445,242445,تکاب,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,697c53a6-3870-0f53-6b5c-3207ebfc0e6c
189,242470,242470,قائن,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,460ba7c5-c6e7-4470-a000-7e71e0d18767
190,242538,242538,مسجد سلیمان,242311,خوزستان,False,,,,,,SUPPRESSED,a568c3c6-5e35-66d7-26f6-eeecaef95c38
191,242515,242515,داراب,242297,فارس,False,,,,,,SUPPRESSED,b02d3bb7-9822-f33e-62b6-68767c1b3dbd
192,242630,242630,شوش,242311,خوزستان,False,,,,,,SUPPRESSED,da9879a6-fdff-3756-7cf1-9c484b745151
193,242461,242461,حاجی آباد,242310,هرمزگان,False,,,,,,SUPPRESSED,065515f2-9683-49af-1172-717cc161e1ac
194,242537,242537,مریوان,242295,کردستان,False,,,,,,SUPPRESSED,a9406960-a1ee-d48d-570d-54f82e9ee3be
195,242396,242396,اقلید,242297,فارس,False,,,,,,SUPPRESSED,c0388b87-a642-fab1-883b-9d7bb41a2bf0
196,242715,242715,میبد,242309,یزد,False,,,,,,SUPPRESSED,b973103c-b1f9-add4-9320-b920479f35ca
197,242724,242724,پیرانشهر,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,1a11dd1b-ec4a-c504-dba9-e582b8e903bf
198,242602,242602,سنقر,242287,کرمانشاه,False,,,,,,SUPPRESSED,dc161866-70b0-6b68-5de6-58a977f2caa4
