city_label,city_id,city_name_fa,district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
tehran,272905,تهران,1,منطقه 1,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,MUNICIPAL_AREA,yes,60,1400-06,1405-05,23700,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,23700,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,2,منطقه 2,5e92f55b-b28e-842d-0bff-ebedf489023f,272905:2,MUNICIPAL_AREA,yes,60,1400-06,1405-05,41182,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,41182,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,3,منطقه 3,ff50928d-cafd-7ddc-8a2a-687762b0254d,272905:3,MUNICIPAL_AREA,yes,60,1400-06,1405-05,19868,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,19868,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,4,منطقه 4,9e522432-7d71-31ab-b475-1f7a9c3befb5,272905:4,MUNICIPAL_AREA,yes,60,1400-06,1405-05,32225,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,32225,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,5,منطقه 5,c88afe7c-7484-7ae2-9fc4-810ac1a3ef44,272905:5,MUNICIPAL_AREA,yes,60,1400-06,1405-05,80805,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,80805,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,6,منطقه 6,ef14e327-e7dc-483a-69e3-31672bf61984,272905:6,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12647,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12647,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,7,منطقه 7,0fee0154-6dda-1109-17ab-7af2df64b692,272905:7,MUNICIPAL_AREA,yes,60,1400-06,1405-05,15338,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,15338,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,8,منطقه 8,04a45272-086f-638d-ff1a-433172fb6aa3,272905:8,MUNICIPAL_AREA,yes,60,1400-06,1405-05,19733,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,19733,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,9,منطقه 9,006dc5f4-0883-4a22-bfa9-857d98262079,272905:9,MUNICIPAL_AREA,yes,60,1400-06,1405-05,11474,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,11474,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,10,منطقه 10,3c94c0ff-94e1-3c73-70b1-3c2774333b48,272905:10,MUNICIPAL_AREA,yes,60,1400-06,1405-05,43873,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,43873,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,11,منطقه 11,7ec6174a-b77f-7483-2e27-661eaab9f4d7,272905:11,MUNICIPAL_AREA,yes,60,1400-06,1405-05,13874,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,13874,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,12,منطقه 12,cbde05c0-583f-78ee-2e47-152941edafa0,272905:12,MUNICIPAL_AREA,yes,60,1400-06,1405-05,3953,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3953,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,13,منطقه 13,242b15af-a5fc-6303-cc74-5d9ab8437470,272905:13,MUNICIPAL_AREA,yes,60,1400-06,1405-05,9669,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9669,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,14,منطقه 14,fa66bf31-710b-be2b-defd-7dae7e1e1371,272905:14,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12153,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12153,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,15,منطقه 15,3fa1da83-c366-bfd2-91cf-f7e44c86ed9c,272905:15,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12675,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12675,yes,1405-05,6,ASKING_RENT present but empty
tehran,272905,تهران,16,منطقه 16,85a94198-ee48-2a86-2c76-6db3ab0e6822,272905:16,MUNICIPAL_AREA,yes,60,1400-06,1405-05,4378,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4378,yes,1405-05,6,ASKING_RENT present but empty
