excluded_reason,source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,deposit_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
dropped in the cleaned/verified version — kept here so no row disappears without a record,16,markdown_table,22,,,stated_in_source,not_applicable_owner_assigned,,شهرک راه آهن، کوهسار,,125,4000000.0,,,400000000.0,4 میلیون,400 میلیون,| شهرک راه آهن، کوهسار | 125 | 4 میلیون | 400 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
dropped in the cleaned/verified version — kept here so no row disappears without a record,24,markdown_table,22,,,stated_in_source,not_applicable_owner_assigned,,انتهای همت غرب، بلوار درسا,,120,,,,550000000.0,-,550 میلیون,| انتهای همت غرب، بلوار درسا | 120 | - | 550 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
dropped in the cleaned/verified version — kept here so no row disappears without a record,30,markdown_table,22,,,stated_in_source,not_applicable_owner_assigned,,شهرک راه آهن، افشین اردستانی,,114,,,,1000000000.0,-,یک میلیارد,| شهرک راه آهن، افشین اردستانی | 114 | - | یک میلیارد |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
