source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
63,corrupt_paste,13,13,,gap_fill,match,1*,تهران نو - مهرآور,8,85,10000000.0,,,1000000000,885101000,۱*تهران نو - مهرآور885101000,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
64,corrupt_paste,13,13,,gap_fill,unchecked,1*,آشتیانی - دماوند,9,70,10000000.0,,,500000000,97010500,۱*آشتیانی - دماوند97010500,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
65,corrupt_paste,13,13,,gap_fill,unchecked,1*,اسدی - قوسی نژاد,6,76,13000000.0,,,800000000,67613800,۱*اسدی - قوسی نژاد67613800,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
66,corrupt_paste,13,13,,gap_fill,unchecked,1*,چهارصد دستگاه - اندرزگو,7,70,13000000.0,,,400000000,77013400,۱*چهارصد دستگاه - اندرزگو77013400,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
67,corrupt_paste,14,14,,marker,match,14,پرستار - کرباسی ها,8,75,4500000.0,,,550000000,8754.5550,۱۴پرستار - کرباسی ها8754.5550,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
68,corrupt_paste,,,,unknown,unchecked,1*,دولاب - امیرسلمانی,10,82,3000000.0,,,900000000,10823900,۱*دولاب - امیرسلمانی10823900,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:14,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
69,corrupt_paste,,,,unknown,unchecked,1*,صاحب الزمان - گمنام,,,,,,,99012500,۱*صاحب الزمان - گمنام99012500,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
70,corrupt_paste,,,,unknown,unchecked,1*,صددستگاه - خیری,,,,,,,109012900,۱*صددستگاه - خیری109012900,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates; sibling_table_says:14,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
71,corrupt_paste,,,,unknown,unchecked,1*,ابوذر - آقاجانلو,9,72,13000000.0,,,400000000,97213400,۱*ابوذر - آقاجانلو97213400,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
72,corrupt_paste,15,15,,marker,match,15,کیانشهر - نهم,6,79,14000000.0,,,300000000,67914300,۱۵کیانشهر - نهم67914300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
73,corrupt_paste,,,,unknown,unchecked,1*,افسریه - زالی,7,75,6000000.0,,,300000000,7756300,۱*افسریه - زالی7756300,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
74,corrupt_paste,15,15,,marker,match,15,شوش - چهارم,8,70,4500000.0,,,500000000,8704.5500,۱۵شوش - چهارم8704.5500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
75,corrupt_paste,15,15,,marker,match,15,مسعودیه,,,,,,,87512250,۱۵مسعودیه87512250,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
76,corrupt_paste,16,16,,marker,match,16,نازی آباد - رضوان,,,,,,,78012800,۱۶نازی آباد - رضوان78012800,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
77,corrupt_paste,16,16,,marker,match,16,جوادیه - قرنی,5,85,6500000.0,,,500000000,5856.5500,۱۶جوادیه - قرنی5856.5500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
78,corrupt_paste,,,,unknown,unchecked,1*,خزانه - فلاحی,7,70,6000000.0,,,400000000,7706400,۱*خزانه - فلاحی7706400,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:16,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
79,corrupt_paste,,,,unknown,unchecked,1*,علی آباد - دستواره,9,75,8000000.0,,,400000000,9758400,۱*علی آباد - دستواره9758400,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:16,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
80,corrupt_paste,,,,unknown,unchecked,1*,یاخچی آباد - بشارت,6,85,15000000.0,,,500000000,68515500,۱*یاخچی آباد - بشارت68515500,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:16,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
81,corrupt_paste,,,,unknown,unchecked,1*,امامزاده حسن,,,,,,,99012300,۱*امامزاده حسن99012300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
82,corrupt_paste,17,17,,marker,match,17,زمزم - جمران,10,75,8000000.0,,,300000000,10758300,۱۷زمزم - جمران10758300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
83,corrupt_paste,,,,unknown,unchecked,1*,وصنفار - رمضانی,8,80,9000000.0,,,500000000,8809500,۱*وصنفار - رمضانی8809500,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:17,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
84,corrupt_paste,,,,unknown,unchecked,1*,سجاد - مفرقی,10,75,15000000.0,,,350000000,107515350,۱*سجاد - مفرقی107515350,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:17,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
85,corrupt_paste,,,,unknown,unchecked,1*,جلیلی - آقابری,10,75,0.0,,,500000000,10750500,۱*جلیلی - آقابری10750500,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
86,corrupt_paste,18,18,,marker,unchecked,18,تولیددارو - قنات,8,70,6000000.0,,,400000000,8706400,۱۸تولیددارو - قنات8706400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
87,corrupt_paste,,,,unknown,unchecked,1*,شهرک ولیعصر - بارزگان,,,,,,,108012250,۱*شهرک ولیعصر - بارزگان108012250,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates; sibling_table_says:18,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
88,corrupt_paste,,,,unknown,unchecked,1*,یافت آباد - سعفی,9,73,9000000.0,,,400000000,9739400,۱*یافت آباد - سعفی9739400,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:18,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
89,corrupt_paste,,,,unknown,unchecked,1*,شادآباد - الهر,,,,,,,108012300,۱*شادآباد - الهر108012300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates; sibling_table_says:18,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
90,corrupt_paste,,,,unknown,unchecked,1*,خلیج فارس - غفاری,,,,,,,107512300,۱*خلیج فارس - غفاری107512300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates; sibling_table_says:18,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
91,corrupt_paste,,,,unknown,unchecked,1*,خانی آباد نو - اموزگار,7,90,15000000.0,,,300000000,79015300,۱*خانی آباد نو - اموزگار79015300,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:19,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
92,corrupt_paste,19,19,,marker,unchecked,19,خانی آباد - شهریاری,9,90,9000000.0,,,200000000,9909200,۱۹خانی آباد - شهریاری9909200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
93,corrupt_paste,19,19,,marker,match,19,عبدل آباد - هفدهم,,,,,,,98512300,۱۹عبدل آباد - هفدهم98512300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
94,corrupt_paste,,,,unknown,unchecked,1*,دولتخواه - رامینی,6,90,10000000.0,,,650000000,69010650,۱*دولتخواه - رامینی69010650,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
95,corrupt_paste,,,,unknown,unchecked,1*,شهرک شریعتی,5,85,7000000.0,,,200000000,5857200,۱*شهرک شریعتی5857200,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:19,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
96,corrupt_paste,,,,unknown,unchecked,2*,فیروزآبادی - قدسیان اسلام,6,74,7000000.0,,,400000000,6747400,۲*فیروزآبادی - قدسیان اسلام6747400,False,source_ambiguity,district_marker_corrupt:2*; sibling_table_says:20,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
97,corrupt_paste,20,20,,marker,match,20,دولت آباد - بهشتی,7,84,7000000.0,,,600000000,7847600,۲۰دولت آباد - بهشتی7847600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
98,corrupt_paste,,,,unknown,unchecked,2*,جوانمرد قصاب,7,85,6000000.0,,,600000000,7856600,۲*جوانمرد قصاب7856600,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
99,corrupt_paste,,,,unknown,unchecked,2*,ابن بابویه - قم,7,75,15000000.0,,,200000000,77515200,۲*ابن بابویه - قم77515200,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
100,corrupt_paste,,,,unknown,unchecked,2*,سرتخت - مدرس,8,73,13000000.0,,,300000000,87313300,۲*سرتخت - مدرس87313300,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
101,corrupt_paste,,,,unknown,unchecked,2*,تهرانسر - نیلوفر,9,90,10000000.0,,,800000000,99010800,۲*تهرانسر - نیلوفر99010800,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
102,corrupt_paste,,,,unknown,unchecked,2*,وردآورد - ولیعصر,,,,,,,68911500,۲*وردآورد - ولیعصر68911500,True,source_ambiguity,district_marker_corrupt:2*; ambiguous_column_split:2_candidates; sibling_table_says:21,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
103,corrupt_paste,,,,unknown,unchecked,2*,چیتگر - جهاد,,,,,,,69012400,۲*چیتگر - جهاد69012400,True,source_ambiguity,district_marker_corrupt:2*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
104,corrupt_paste,21,21,,marker,match,21,شهرک آزادی - نیک آزم,7,80,17500000.0,,,300000000,78017.5300,۲۱شهرک آزادی - نیک آزم78017.5300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
105,corrupt_paste,22,22,,marker,unchecked,22,ویلاشهر - انصار,6,110,30000000.0,,,500000000,611030500,۲۲ویلاشهر - انصار611030500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
106,corrupt_paste,,,,unknown,unchecked,2*,دریاچه خلیج فارس,6,114,30000000.0,,,500000000,611430500,۲*دریاچه خلیج فارس611430500,False,source_ambiguity,district_marker_corrupt:2*; sibling_table_says:22,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
107,corrupt_paste,,,,unknown,unchecked,2*,المپیک - چشمه غربی,9,108,25000000.0,,,700000000,910825700,۲*المپیک - چشمه غربی910825700,False,source_ambiguity,district_marker_corrupt:2*; sibling_table_says:22,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
108,corrupt_paste,,,,unknown,unchecked,2*,سروآزاد - شهرک اریده,8,127,21000000.0,,,1000000000,8127211000,۲*سروآزاد - شهرک اریده8127211000,False,source_ambiguity,district_marker_corrupt:2*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
109,corrupt_paste,,,,unknown,unchecked,2*,شهرک راه آهن - بنفشه ها,,,,,,,910521400,۲*شهرک راه آهن - بنفشه ها910521400,True,source_ambiguity,district_marker_corrupt:2*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
110,corrupt_paste,,,,unknown,unchecked,2*,کوهک - طلوع چهارم,4,85,10000000.0,,,1000000000,485101000۱,۲*کوهک - طلوع چهارم485101000۱,False,source_ambiguity,district_marker_corrupt:2*; trailing_digits_stripped:1; sibling_table_says:22,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
